symbol,name,exchange,sector
20MICRONS.NS,20 Microns Limited,NSE,Basic Materials
21STCENMGM.NS,21st Century Management Services Limited,NSE,Financial Services
360ONE.NS,360 ONE WAM LIMITED,NSE,Financial Services
3IINFOLTD.NS,3i Infotech Limited,NSE,Technology
3MINDIA.NS,3M India Limited,NSE,Industrials
3PLAND.NS,3P Land Holdings Limited,NSE,Unknown
5PAISA.NS,5Paisa Capital Limited,NSE,Financial Services
63MOONS.NS,63 moons technologies limited,NSE,Technology
A2ZINFRA.NS,A2Z Infra Engineering Limited,NSE,Industrials
AAATECH.NS,AAA Technologies Limited,NSE,Technology
AADHARHFC.NS,Aadhar Housing Finance Limited,NSE,Financial Services
AAKASH.NS,Aakash Exploration Services Limited,NSE,Energy
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,NSE,Healthcare
AARON.NS,Aaron Industries Limited,NSE,Industrials
AARTECH.NS,Aartech Solonics Limited,NSE,Industrials
AARTIDRUGS.NS,Aarti Drugs Limited,NSE,Healthcare
AARTIIND.NS,Aarti Industries Limited,NSE,Basic Materials
AARTIPHARM.NS,Aarti Pharmalabs Limited,NSE,Healthcare
AARTISURF.NS,Aarti Surfactants Limited,NSE,Basic Materials
AARVI.NS,Aarvi Encon Limited,NSE,Industrials
AAVAS.NS,Aavas Financiers Limited,NSE,Financial Services
ABAN.NS,Aban Offshore Limited,NSE,Energy
ABB.NS,ABB India Limited,NSE,Industrials
ABBOTINDIA.NS,Abbott India Limited,NSE,Healthcare
ABCAPITAL.NS,Aditya Birla Capital Limited,NSE,Financial Services
ABCOTS.NS,A B Cotspin India Limited,NSE,Consumer Cyclical
ABDL.NS,Allied Blenders and Distillers Limited,NSE,Consumer Defensive
ABFRL.NS,Aditya Birla Fashion and Retail Limited,NSE,Consumer Cyclical
ABINFRA.NS,A B Infrabuild Limited,NSE,Industrials
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,NSE,Consumer Cyclical
ABMINTLLTD.NS,ABM International Limited,NSE,Basic Materials
ABREL.NS,Aditya Birla Real Estate Limited,NSE,Basic Materials
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,NSE,Financial Services
ACC.NS,ACC Limited,NSE,Basic Materials
ACCELYA.NS,Accelya Solutions India Limited,NSE,Technology
ACCURACY.NS,Accuracy Shipping Limited,NSE,Industrials
ACE.NS,Action Construction Equipment Limited,NSE,Industrials
ACEINTEG.NS,Ace Integrated Solutions Limited,NSE,Industrials
ACI.NS,Archean Chemical Industries Limited,NSE,Basic Materials
ACL.NS,Andhra Cements Limited,NSE,Basic Materials
ACLGATI.NS,Allcargo Gati Limited,NSE,Industrials
ACMESOLAR.NS,Acme Solar Holdings Limited,NSE,Utilities
ACUTAAS.NS,Acutaas Chemicals Limited,NSE,Basic Materials
ADANIENSOL.NS,Adani Energy Solutions Limited,NSE,Utilities
ADANIENT.NS,Adani Enterprises Limited,NSE,Energy
ADANIGREEN.NS,Adani Green Energy Limited,NSE,Utilities
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,NSE,Industrials
ADANIPOWER.NS,Adani Power Limited,NSE,Utilities
ADFFOODS.NS,ADF Foods Limited,NSE,Consumer Defensive
ADL.NS,Archidply Decor Limited,NSE,Consumer Cyclical
ADOR.NS,Ador Welding Limited,NSE,Industrials
ADROITINFO.NS,Adroit Infotech Limited,NSE,Technology
ADSL.NS,Allied Digital Services Limited,NSE,Technology
ADVANCE.NS,Advance Agrolife Limited,NSE,Basic Materials
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,NSE,Consumer Cyclical
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,NSE,Basic Materials
AEGISLOG.NS,Aegis Logistics Limited,NSE,Energy
AEGISVOPAK.NS,Aegis Vopak Terminals Limited,NSE,Energy
AEROENTER.NS,Aeroflex Enterprises Limited,NSE,Basic Materials
AEROFLEX.NS,Aeroflex Industries Limited,NSE,Industrials
AERONEU.NS,Aeroflex Neu Limited,NSE,Consumer Cyclical
AETHER.NS,Aether Industries Limited,NSE,Basic Materials
AFCONS.NS,Afcons Infrastructure Limited,NSE,Industrials
AFFLE.NS,Affle 3i Limited,NSE,Communication Services
AFFORDABLE.NS,Affordable Robotic & Automation Limited,NSE,Industrials
AFIL.NS,Akme Fintrade (India) Limited,NSE,Financial Services
AFSL.NS,Abans Financial Services Limited,NSE,Financial Services
AGARIND.NS,Agarwal Industrial Corporation Limited,NSE,Basic Materials
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,NSE,Healthcare
AGI.NS,AGI Greenpac Limited,NSE,Consumer Cyclical
AGIIL.NS,Agi Infra Limited,NSE,Real Estate
AGRITECH.NS,Agri-Tech (India) Limited,NSE,Consumer Defensive
AGROPHOS.NS,Agro Phos India Limited,NSE,Basic Materials
AGSTRA.NS,AGS Transact Technologies Limited,NSE,Technology
AHCL.NS,Anlon Healthcare Limited,NSE,Healthcare
AHLADA.NS,Ahlada Engineers Limited,NSE,Industrials
AHLEAST.NS,Asian Hotels (East) Limited,NSE,Consumer Cyclical
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,NSE,Industrials
AIAENG.NS,AIA Engineering Limited,NSE,Industrials
AIIL.NS,Authum Investment & Infrastructure Limited,NSE,Financial Services
AIRAN.NS,Airan Limited,NSE,Technology
AIROLAM.NS,Airo Lam limited,NSE,Consumer Cyclical
AJANTPHARM.NS,Ajanta Pharma Limited,NSE,Healthcare
AJAXENGG.NS,Ajax Engineering Limited,NSE,Industrials
